CellNum	LandUse	SoilClass
799	Scrub	Alfisols 1
800	Scrub	Alfisols 1
801	Scrub	Alfisols 1
802	Urban	Inceptisols
803	Scrub	Alfisols 1
804	Scrub	Alfisols 2
805	Scrub	Alfisols 2
806	Scrub	Alfisols 2
807	Scrub	Alfisols 2
808	Scrub	Alfisols 2
809	Scrub	Alfisols 2
810	Scrub	Alfisols 2
811	Scrub	Entisols
812	Scrub	Alfisols 2
813	Scrub	Entisols
814	Scrub	Alfisols 2
815	Scrub	Alfisols 2
816	Scrub	Alfisols 2
817	Scrub	Entisols
818	Scrub	Inceptisols
819	Scrub	Alfisols 1
820	Scrub	Inceptisols
821	Scrub	Alfisols 1
822	Scrub	Alfisols 1
823	Scrub	Alfisols 1
824	Scrub	Alfisols 1
825	Scrub	Alfisols 1
826	Scrub	Alfisols 1
827	Scrub	Alfisols 1
828	Scrub	Entisols
829	Scrub	Alfisols 1
830	Scrub	Alfisols 1
831	Scrub	Alfisols 1
832	Scrub	Inceptisols
833	Scrub	Alfisols 1
834	Scrub	Alfisols 1
835	Scrub	Alfisols 1
836	Scrub	Alfisols 1
837	Scrub	Inceptisols
838	Scrub	Alfisols 1
839	Scrub	Alfisols 1
840	Scrub	Alfisols 1
841	Scrub	Alfisols 1
842	Scrub	Alfisols 1
843	Scrub	Inceptisols
844	Scrub	Inceptisols
845	Scrub	Alfisols 1
846	Scrub	Alfisols 1
847	Scrub	Inceptisols
848	Scrub	Alfisols 1
849	Scrub	Alfisols 1
850	Scrub	Alfisols 1
851	Scrub	Alfisols 1
852	Scrub	Alfisols 1
853	Scrub	Alfisols 1
854	Scrub	Inceptisols
855	Scrub	Inceptisols
856	Scrub	Inceptisols
857	Scrub	Alfisols 1
858	Scrub	Alfisols 1
859	Scrub	Alfisols 1
860	PaddyR	Entisols
861	PaddyK	Alfisols 1
862	Scrub	Alfisols 1
863	Scrub	Alfisols 1
864	Scrub	Alfisols 1
865	Scrub	Alfisols 1
866	Scrub	Alfisols 1
867	Scrub	Alfisols 1
868	Scrub	Alfisols 1
869	Scrub	Alfisols 1
870	Scrub	Alfisols 1
871	Scrub	Alfisols 1
872	Scrub	Alfisols 1
873	Scrub	Alfisols 1
874	Scrub	Alfisols 1
875	Scrub	Alfisols 1
876	Scrub	Inceptisols
877	Scrub	Alfisols 2
878	Scrub	Alfisols 2
879	Scrub	Alfisols 2
880	Scrub	Alfisols 2
881	Scrub	Alfisols 2
882	Scrub	Alfisols 2
883	Scrub	Alfisols 2
884	Scrub	Entisols
885	Scrub	Entisols
886	Tank	Entisols
887	Scrub	Entisols
888	Scrub	Entisols
889	Scrub	Entisols
890	Scrub	Alfisols 1
891	Scrub	Alfisols 1
892	Scrub	Alfisols 1
893	Scrub	Alfisols 1
894	Scrub	Alfisols 1
895	Scrub	Alfisols 1
896	Scrub	Alfisols 1
897	Scrub	Alfisols 1
898	Scrub	Alfisols 1
899	Scrub	Alfisols 1
900	Scrub	Alfisols 1
901	Scrub	Entisols
902	Scrub	Alfisols 1
903	Scrub	Alfisols 1
904	Scrub	Inceptisols
905	Scrub	Alfisols 1
906	Scrub	Alfisols 1
907	Scrub	Alfisols 1
908	Scrub	Alfisols 1
909	Scrub	Alfisols 1
910	Scrub	Inceptisols
911	Scrub	Alfisols 1
912	Scrub	Alfisols 1
913	Scrub	Alfisols 1
914	Scrub	Alfisols 1
915	Scrub	Alfisols 1
916	Scrub	Alfisols 1
917	Scrub	Alfisols 1
918	Scrub	Inceptisols
919	Scrub	Alfisols 1
920	Scrub	Alfisols 1
921	Scrub	Inceptisols
922	Scrub	Alfisols 1
923	Scrub	Alfisols 1
924	Scrub	Entisols
925	Scrub	Entisols
926	Scrub	Alfisols 1
927	Scrub	Alfisols 1
928	Scrub	Inceptisols
929	Scrub	Inceptisols
930	Urban	Alfisols 1
931	Scrub	Alfisols 1
932	Scrub	Alfisols 1
933	PaddyK	Alfisols 1
934	Tank	Entisols
935	Scrub	Alfisols 1
936	Scrub	Alfisols 1
937	Scrub	Alfisols 1
938	Scrub	Alfisols 1
939	Scrub	Alfisols 1
940	Scrub	Alfisols 1
941	Scrub	Alfisols 1
942	Scrub	Alfisols 1
943	Scrub	Alfisols 1
944	Scrub	Alfisols 1
945	Scrub	Alfisols 1
946	Scrub	Alfisols 1
947	Scrub	Alfisols 1
948	Scrub	Alfisols 1
949	Scrub	Alfisols 1
950	Scrub	Alfisols 1
951	Scrub	Alfisols 1
952	Scrub	Alfisols 1
