Date	PET_mm	Rainfall_mm
2011-07-06	6.4	43.1
2011-07-07	3.1	2.6
2011-07-08	4.8	2
2011-07-09	4.5	0
2011-07-10	9.4	0
2011-07-11	9.9	0
2011-07-12	7.8	0
2011-07-13	3.6	24.6
2011-07-14	1.6	20.4
2011-07-15	2.7	11.8
2011-07-16	5.2	0.4
2011-07-17	5.6	1.1
2011-07-18	5.2	0.2
2011-07-19	7.7	0
2011-07-20	8	0
2011-07-21	4.6	1.4
2011-07-22	6.1	0
2011-07-23	7.7	4
2011-07-24	4.6	2
2011-07-25	4.1	0.1
2011-07-26	3.2	48.2
2011-07-27	1.9	1
2011-07-28	5.1	0
2011-07-29	5.6	8
2011-07-30	4	2.6
2011-07-31	4.7	3.8
2011-08-01	2.7	0
2011-08-02	5.3	29.6
2011-08-03	3.8	0
2011-08-04	2.9	0
2011-08-05	4.6	12.4
2011-08-06	4.8	0
2011-08-07	4.2	0
2011-08-08	4.3	0.3
2011-08-09	3.6	0.2
2011-08-10	5	0
2011-08-11	5	0
2011-08-12	6.8	0
2011-08-13	5.6	0.8
2011-08-14	3.9	25.4
2011-08-15	4.8	1.2
2011-08-16	4.6	0
2011-08-17	4.4	0
2011-08-18	4	0
2011-08-19	1.8	16.6
2011-08-20	2.8	0.6
2011-08-21	3.2	18.6
2011-08-22	1.8	4.8
2011-08-23	1.2	0
2011-08-24	3	4.5
2011-08-25	4.8	15
2011-08-26	2	6
2011-08-27	2.2	8.7
2011-08-28	2.6	3.4
2011-08-29	2.4	2
2011-08-30	4.2	0
2011-08-31	1.5	5.4
2011-09-01	3.9	27.8
2011-09-02	3	9.2
2011-09-03	3.5	0
2011-09-04	3.5	0
2011-09-05	3.7	0.6
2011-09-06	5	0
2011-09-07	4.9	0
2011-09-08	4.2	2.6
2011-09-09	4.9	0
2011-09-10	4.9	0
2011-09-11	5.4	0
2011-09-12	5.1	0
2011-09-13	5	0
2011-09-14	4.2	0.2
2011-09-15	3.6	23.4
2011-09-16	3.2	2.4
2011-09-17	2.8	0
2011-09-18	4.5	0
2011-09-19	4.7	2.2
2011-09-20	4.3	0
2011-09-21	4.4	0
2011-09-22	4.5	0
2011-09-23	3.9	0
2011-09-24	4.4	0
2011-09-25	4.6	0
2011-09-26	4.7	0
2011-09-27	4.1	0
2011-09-28	4.5	0
2011-09-29	4.5	31.8
2011-09-30	2.5	1.4
2011-10-01	3.9	0
2011-10-02	4.6	0
2011-10-03	4.1	0
2011-10-04	4.8	18
2011-10-05	1	0
2011-10-06	2.7	0
2011-10-07	3.8	0
2011-10-08	4.1	0
2011-10-09	3.8	0
2011-10-10	4.4	0
2011-10-11	3.2	0
2011-10-12	3	2.2
2011-10-13	2.6	2.8
2011-10-14	3.8	0
2011-10-15	3.9	0.4
2011-10-16	3.5	0
2011-10-17	5.7	0
2011-10-18	6.2	0
2011-10-19	5.3	0
2011-10-20	5.6	0
2011-10-21	4.8	0
2011-10-22	6.2	0
2011-10-23	5.7	0
2011-10-24	5.8	0
2011-10-25	5.7	0
2011-10-26	7.5	12.2
2011-10-27	3.4	0
2011-10-28	5.2	0
2011-10-29	5.3	0
2011-10-30	4.7	0
2011-10-31	4.4	0
2011-11-01	4.2	0
2011-11-02	3.9	10.6
2011-11-03	3.6	0
2011-11-04	1.3	0.8
2011-11-05	4.4	0
2011-11-06	5.4	0
2011-11-07	4.8	0
2011-11-08	4.5	0
2011-11-09	4.5	0
2011-11-10	5.2	0
2011-11-11	4.3	0
2011-11-12	4.7	0
2011-11-13	4.4	0
